id,name_ja,name_en,type_ja,category_ja,power,accuracy,pp,priority,generation,effect_en,contact,punch,sound,bullet,pulse,slicing,wind,bite,powder,heal,protect,reflectable,mirror
21,たたきつける,slam,ノーマル,ぶつり,80,75,20,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
22,つるのムチ,vine-whip,くさ,ぶつり,45,100,25,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
23,ふみつけ,stomp,ノーマル,ぶつり,65,100,20,0,第一世代,Has a chance to make the target flinch.,1,0,0,0,0,0,0,0,0,0,1,0,1
24,にどげり,double-kick,かくとう,ぶつり,30,100,30,0,第一世代,Hits twice in one turn.,1,0,0,0,0,0,0,0,0,0,1,0,1
25,メガトンキック,mega-kick,ノーマル,ぶつり,120,75,5,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
26,とびげり,jump-kick,かくとう,ぶつり,100,95,10,0,第一世代,"If the user misses, it takes half the damage it would have inflicted in recoil.",1,0,0,0,0,0,0,0,0,0,1,0,1
27,まわしげり,rolling-kick,かくとう,ぶつり,60,85,15,0,第一世代,Has a chance to make the target flinch.,1,0,0,0,0,0,0,0,0,0,1,0,1
28,すなかけ,sand-attack,じめん,へんか,,100,15,0,第一世代,Lowers the target’s accuracy by one stage.,0,0,0,0,0,0,0,0,0,0,1,1,1
29,ずつき,headbutt,ノーマル,ぶつり,70,100,15,0,第一世代,Has a chance to make the target flinch.,1,0,0,0,0,0,0,0,0,0,1,0,1
30,つのでつく,horn-attack,ノーマル,ぶつり,65,100,25,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
31,みだれづき,fury-attack,ノーマル,ぶつり,15,85,20,0,第一世代,Hits 2-5 times in one turn.,1,0,0,0,0,0,0,0,0,0,1,0,1
32,つのドリル,horn-drill,ノーマル,ぶつり,,30,5,0,第一世代,Causes a one-hit KO.,1,0,0,0,0,0,0,0,0,0,1,0,1
33,たいあたり,tackle,ノーマル,ぶつり,40,100,35,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
34,のしかかり,body-slam,ノーマル,ぶつり,85,100,15,0,第一世代,Has a chance to paralyze the target.,1,0,0,0,0,0,0,0,0,0,1,0,1
35,まきつく,wrap,ノーマル,ぶつり,15,90,20,0,第一世代,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,0,0,0,0,0,0,0,0,0,1,0,1
36,とっしん,take-down,ノーマル,ぶつり,90,85,20,0,第一世代,User receives 1/4 the damage it inflicts in recoil.,1,0,0,0,0,0,0,0,0,0,1,0,1
37,あばれる,thrash,ノーマル,ぶつり,120,100,10,0,第一世代,"Hits every turn for 2-3 turns, then confuses the user.",1,0,0,0,0,0,0,0,0,0,1,0,1
38,すてみタックル,double-edge,ノーマル,ぶつり,120,100,15,0,第一世代,User receives 1/3 the damage inflicted in recoil.,1,0,0,0,0,0,0,0,0,0,1,0,1
39,しっぽをふる,tail-whip,ノーマル,へんか,,100,30,0,第一世代,Lowers the target’s Defense by one stage.,0,0,0,0,0,0,0,0,0,0,1,1,1
40,どくばり,poison-sting,どく,ぶつり,15,100,35,0,第一世代,Has a chance to poison the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
41,ダブルニードル,twineedle,むし,ぶつり,25,100,20,0,第一世代,Hits twice in the same turn.  Has a chance to poison the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
42,ミサイルばり,pin-missile,むし,ぶつり,25,95,20,0,第一世代,Hits 2-5 times in one turn.,0,0,0,0,0,0,0,0,0,0,1,0,1
43,にらみつける,leer,ノーマル,へんか,,100,30,0,第一世代,Lowers the target’s Defense by one stage.,0,0,0,0,0,0,0,0,0,0,1,1,1
44,かみつく,bite,あく,ぶつり,60,100,25,0,第一世代,Has a chance to make the target flinch.,1,0,0,0,0,0,0,1,0,0,1,0,1
45,なきごえ,growl,ノーマル,へんか,,100,40,0,第一世代,Lowers the target’s Attack by one stage.,0,0,1,0,0,0,0,0,0,0,1,1,1
46,ほえる,roar,ノーマル,へんか,,,20,-6,第一世代,Immediately ends wild battles.  Forces trainers to switch Pokémon.,0,0,1,0,0,0,0,0,0,0,0,1,1
47,うたう,sing,ノーマル,へんか,,55,15,0,第一世代,Puts the target to sleep.,0,0,1,0,0,0,0,0,0,0,1,1,1
48,ちょうおんぱ,supersonic,ノーマル,へんか,,55,20,0,第一世代,Confuses the target.,0,0,1,0,0,0,0,0,0,0,1,1,1
49,ソニックブーム,sonic-boom,ノーマル,とくしゅ,,90,20,0,第一世代,Inflicts 20 points of damage.,0,0,0,0,0,0,0,0,0,0,1,0,1
50,かなしばり,disable,ノーマル,へんか,,100,20,0,第一世代,Disables the target’s last used move for 1-8 turns.,0,0,0,0,0,0,0,0,0,0,1,1,1
51,ようかいえき,acid,どく,とくしゅ,40,100,30,0,第一世代,Has a chance to lower the target’s Special Defense by one stage.,0,0,0,0,0,0,0,0,0,0,1,0,1
52,ひのこ,ember,ほのお,とくしゅ,40,100,25,0,第一世代,Has a chance to burn the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
53,かえんほうしゃ,flamethrower,ほのお,とくしゅ,90,100,15,0,第一世代,Has a chance to burn the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
54,しろいきり,mist,こおり,へんか,,,30,0,第一世代,Protects the user’s stats from being changed by enemy moves.,0,0,0,0,0,0,0,0,0,0,0,0,0
55,みずでっぽう,water-gun,みず,とくしゅ,40,100,25,0,第一世代,Inflicts regular damage with no additional effect.,0,0,0,0,0,0,0,0,0,0,1,0,1
56,ハイドロポンプ,hydro-pump,みず,とくしゅ,110,80,5,0,第一世代,Inflicts regular damage with no additional effect.,0,0,0,0,0,0,0,0,0,0,1,0,1
57,なみのり,surf,みず,とくしゅ,90,100,15,0,第一世代,Inflicts regular damage and can hit Dive users.,0,0,0,0,0,0,0,0,0,0,1,0,1
58,れいとうビーム,ice-beam,こおり,とくしゅ,90,100,10,0,第一世代,Has a chance to freeze the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
59,ふぶき,blizzard,こおり,とくしゅ,110,70,5,0,第一世代,Has a chance to freeze the target.,0,0,0,0,0,0,1,0,0,0,1,0,1
60,サイケこうせん,psybeam,エスパー,とくしゅ,65,100,20,0,第一世代,Has a chance to confuse the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
61,バブルこうせん,bubble-beam,みず,とくしゅ,65,100,20,0,第一世代,Has a chance to lower the target’s Speed by one stage.,0,0,0,0,0,0,0,0,0,0,1,0,1
62,オーロラビーム,aurora-beam,こおり,とくしゅ,65,100,20,0,第一世代,Has a chance to lower the target’s Attack by one stage.,0,0,0,0,0,0,0,0,0,0,1,0,1
63,はかいこうせん,hyper-beam,ノーマル,とくしゅ,150,90,5,0,第一世代,User foregoes its next turn to recharge.,0,0,0,0,0,0,0,0,0,0,1,0,1
64,つつく,peck,ひこう,ぶつり,35,100,35,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
65,ドリルくちばし,drill-peck,ひこう,ぶつり,80,100,20,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
66,じごくぐるま,submission,かくとう,ぶつり,80,80,20,0,第一世代,User receives 1/4 the damage it inflicts in recoil.,1,0,0,0,0,0,0,0,0,0,1,0,1
67,けたぐり,low-kick,かくとう,ぶつり,,100,20,0,第一世代,"Inflicts more damage to heavier targets, with a maximum of 120 power.",0,0,0,0,0,0,0,0,0,0,0,0,0
68,カウンター,counter,かくとう,ぶつり,,100,20,-5,第一世代,Inflicts twice the damage the user received from the last physical hit it took.,0,0,0,0,0,0,0,0,0,0,0,0,0
69,ちきゅうなげ,seismic-toss,かくとう,ぶつり,,100,20,0,第一世代,Inflicts damage equal to the user’s level.,1,0,0,0,0,0,0,0,0,0,1,0,1
70,かいりき,strength,ノーマル,ぶつり,80,100,15,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
71,すいとる,absorb,くさ,とくしゅ,20,100,25,0,第一世代,Drains half the damage inflicted to heal the user.,0,0,0,0,0,0,0,0,0,1,1,0,1
72,メガドレイン,mega-drain,くさ,とくしゅ,40,100,15,0,第一世代,Drains half the damage inflicted to heal the user.,0,0,0,0,0,0,0,0,0,1,1,0,1
73,やどりぎのタネ,leech-seed,くさ,へんか,,90,10,0,第一世代,"Seeds the target, stealing HP from it every turn.",0,0,0,0,0,0,0,0,0,0,1,1,1
74,せいちょう,growth,ノーマル,へんか,,,20,0,第一世代,Raises the user’s Attack and Special Attack by one stage.,0,0,0,0,0,0,0,0,0,0,0,0,0
75,はっぱカッター,razor-leaf,くさ,ぶつり,55,95,25,0,第一世代,Has an increased chance for a critical hit.,0,0,0,0,0,1,0,0,0,0,1,0,1
76,ソーラービーム,solar-beam,くさ,とくしゅ,120,100,10,0,第一世代,Requires a turn to charge before attacking.,0,0,0,0,0,0,0,0,0,0,1,0,1
77,どくのこな,poison-powder,どく,へんか,,75,35,0,第一世代,Poisons the target.,0,0,0,0,0,0,0,0,1,0,1,1,1
78,しびれごな,stun-spore,くさ,へんか,,75,30,0,第一世代,Paralyzes the target.,0,0,0,0,0,0,0,0,1,0,1,1,1
79,ねむりごな,sleep-powder,くさ,へんか,,75,15,0,第一世代,Puts the target to sleep.,0,0,0,0,0,0,0,0,1,0,1,1,1
80,はなびらのまい,petal-dance,くさ,とくしゅ,120,100,10,0,第一世代,"Hits every turn for 2-3 turns, then confuses the user.",1,0,0,0,0,0,0,0,0,0,1,0,1
81,いとをはく,string-shot,むし,へんか,,95,40,0,第一世代,Lowers the target’s Speed by two stages.,0,0,0,0,0,0,0,0,0,0,1,1,1
82,りゅうのいかり,dragon-rage,ドラゴン,とくしゅ,,100,10,0,第一世代,Inflicts 40 points of damage.,0,0,0,0,0,0,0,0,0,0,1,0,1
83,ほのおのうず,fire-spin,ほのお,とくしゅ,35,85,15,0,第一世代,Prevents the target from fleeing and inflicts damage for 2-5 turns.,0,0,0,0,0,0,0,0,0,0,1,0,1
84,でんきショック,thunder-shock,でんき,とくしゅ,40,100,30,0,第一世代,Has a chance to paralyze the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
85,10まんボルト,thunderbolt,でんき,とくしゅ,90,100,15,0,第一世代,Has a chance to paralyze the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
86,でんじは,thunder-wave,でんき,へんか,,90,20,0,第一世代,Paralyzes the target.,0,0,0,0,0,0,0,0,0,0,1,1,1
87,かみなり,thunder,でんき,とくしゅ,110,70,10,0,第一世代,Has a chance to paralyze the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
88,いわおとし,rock-throw,いわ,ぶつり,50,90,15,0,第一世代,Inflicts regular damage with no additional effect.,0,0,0,0,0,0,0,0,0,0,1,0,1
89,じしん,earthquake,じめん,ぶつり,100,100,10,0,第一世代,Inflicts regular damage and can hit Dig users.,0,0,0,0,0,0,0,0,0,0,1,0,1
90,じわれ,fissure,じめん,ぶつり,,30,5,0,第一世代,Causes a one-hit KO.,0,0,0,0,0,0,0,0,0,0,1,0,1
91,あなをほる,dig,じめん,ぶつり,80,100,10,0,第一世代,"User digs underground, dodging all attacks, and hits next turn.",1,0,0,0,0,0,0,0,0,0,1,0,1
92,どくどく,toxic,どく,へんか,,90,10,0,第一世代,"Badly poisons the target, inflicting more damage every turn.",0,0,0,0,0,0,0,0,0,0,1,1,1
93,ねんりき,confusion,エスパー,とくしゅ,50,100,25,0,第一世代,Has a chance to confuse the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
94,サイコキネシス,psychic,エスパー,とくしゅ,90,100,10,0,第一世代,Has a chance to lower the target’s Special Defense by one stage.,0,0,0,0,0,0,0,0,0,0,1,0,1
95,さいみんじゅつ,hypnosis,エスパー,へんか,,60,20,0,第一世代,Puts the target to sleep.,0,0,0,0,0,0,0,0,0,0,1,1,1
96,ヨガのポーズ,meditate,エスパー,へんか,,,40,0,第一世代,Raises the user’s Attack by one stage.,0,0,0,0,0,0,0,0,0,0,0,0,0
97,こうそくいどう,agility,エスパー,へんか,,,30,0,第一世代,Raises the user’s Speed by two stages.,0,0,0,0,0,0,0,0,0,0,0,0,0
98,でんこうせっか,quick-attack,ノーマル,ぶつり,40,100,30,1,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
99,いかり,rage,ノーマル,ぶつり,20,100,20,0,第一世代,"If the user is hit after using this move, its Attack rises by one stage.",1,0,0,0,0,0,0,0,0,0,1,0,1
100,テレポート,teleport,エスパー,へんか,,,20,-6,第一世代,Immediately ends wild battles.  No effect otherwise.,0,0,0,0,0,0,0,0,0,0,0,0,0
101,ナイトヘッド,night-shade,ゴースト,とくしゅ,,100,15,0,第一世代,Inflicts damage equal to the user’s level.,0,0,0,0,0,0,0,0,0,0,1,0,1
102,ものまね,mimic,ノーマル,へんか,,,10,0,第一世代,Copies the target’s last used move.,0,0,0,0,0,0,0,0,0,0,1,0,0
103,いやなおと,screech,ノーマル,へんか,,85,40,0,第一世代,Lowers the target’s Defense by two stages.,0,0,1,0,0,0,0,0,0,0,1,1,1
104,かげぶんしん,double-team,ノーマル,へんか,,,15,0,第一世代,Raises the user’s evasion by one stage.,0,0,0,0,0,0,0,0,0,0,0,0,0
105,じこさいせい,recover,ノーマル,へんか,,,5,0,第一世代,Heals the user by half its max HP.,0,0,0,0,0,0,0,0,0,1,0,0,0
106,かたくなる,harden,ノーマル,へんか,,,30,0,第一世代,Raises the user’s Defense by one stage.,0,0,0,0,0,0,0,0,0,0,0,0,0
107,ちいさくなる,minimize,ノーマル,へんか,,,10,0,第一世代,Raises the user’s evasion by two stages.,0,0,0,0,0,0,0,0,0,0,0,0,0
108,えんまく,smokescreen,ノーマル,へんか,,100,20,0,第一世代,Lowers the target’s accuracy by one stage.,0,0,0,0,0,0,0,0,0,0,1,1,1
109,あやしいひかり,confuse-ray,ゴースト,へんか,,100,10,0,第一世代,Confuses the target.,0,0,0,0,0,0,0,0,0,0,1,1,1
110,からにこもる,withdraw,みず,へんか,,,40,0,第一世代,Raises the user’s Defense by one stage.,0,0,0,0,0,0,0,0,0,0,0,0,0
111,まるくなる,defense-curl,ノーマル,へんか,,,40,0,第一世代,Raises user’s Defense by one stage.,0,0,0,0,0,0,0,0,0,0,0,0,0
112,バリアー,barrier,エスパー,へんか,,,20,0,第一世代,Raises the user’s Defense by two stages.,0,0,0,0,0,0,0,0,0,0,0,0,0
113,ひかりのかべ,light-screen,エスパー,へんか,,,30,0,第一世代,Reduces damage from special attacks by 50% for five turns.,0,0,0,0,0,0,0,0,0,0,0,0,0
114,くろいきり,haze,こおり,へんか,,,30,0,第一世代,"Resets all Pokémon’s stats, accuracy, and evasion.",0,0,0,0,0,0,0,0,0,0,0,0,0
115,リフレクター,reflect,エスパー,へんか,,,20,0,第一世代,Reduces damage from physical attacks by half.,0,0,0,0,0,0,0,0,0,0,0,0,0
116,きあいだめ,focus-energy,ノーマル,へんか,,,30,0,第一世代,Increases the user’s chance to score a critical hit.,0,0,0,0,0,0,0,0,0,0,0,0,0
117,がまん,bide,ノーマル,ぶつり,,,10,1,第一世代,"User waits for two turns, then hits back for twice the damage it took.",1,0,0,0,0,0,0,0,0,0,1,0,0
118,ゆびをふる,metronome,ノーマル,へんか,,,10,0,第一世代,Randomly selects and uses any move in the game.,0,0,0,0,0,0,0,0,0,0,0,0,0
119,オウムがえし,mirror-move,ひこう,へんか,,,20,0,第一世代,Uses the target’s last used move.,0,0,0,0,0,0,0,0,0,0,0,0,0
120,じばく,self-destruct,ノーマル,ぶつり,200,100,5,0,第一世代,User faints.,0,0,0,0,0,0,0,0,0,0,1,0,1
121,タマゴばくだん,egg-bomb,ノーマル,ぶつり,100,75,10,0,第一世代,Inflicts regular damage with no additional effect.,0,0,0,1,0,0,0,0,0,0,1,0,1
122,したでなめる,lick,ゴースト,ぶつり,30,100,30,0,第一世代,Has a chance to paralyze the target.,1,0,0,0,0,0,0,0,0,0,1,0,1
123,スモッグ,smog,どく,とくしゅ,30,70,20,0,第一世代,Has a chance to poison the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
124,ヘドロこうげき,sludge,どく,とくしゅ,65,100,20,0,第一世代,Has a chance to poison the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
125,ホネこんぼう,bone-club,じめん,ぶつり,65,85,20,0,第一世代,Has a chance to make the target flinch.,0,0,0,0,0,0,0,0,0,0,1,0,1
126,だいもんじ,fire-blast,ほのお,とくしゅ,110,85,5,0,第一世代,Has a chance to burn the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
127,たきのぼり,waterfall,みず,ぶつり,80,100,15,0,第一世代,Has a chance to make the target flinch.,1,0,0,0,0,0,0,0,0,0,1,0,1
128,からではさむ,clamp,みず,ぶつり,35,85,15,0,第一世代,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,0,0,0,0,0,0,0,0,0,1,0,1
129,スピードスター,swift,ノーマル,とくしゅ,60,,20,0,第一世代,Never misses.,0,0,0,0,0,0,0,0,0,0,1,0,1
130,ロケットずつき,skull-bash,ノーマル,ぶつり,130,100,10,0,第一世代,Raises the user’s Defense by one stage.  User charges for one turn before attacking.,1,0,0,0,0,0,0,0,0,0,1,0,1
131,とげキャノン,spike-cannon,ノーマル,ぶつり,20,100,15,0,第一世代,Hits 2-5 times in one turn.,0,0,0,0,0,0,0,0,0,0,1,0,1
132,からみつく,constrict,ノーマル,ぶつり,10,100,35,0,第一世代,Has a chance to lower the target’s Speed by one stage.,1,0,0,0,0,0,0,0,0,0,1,0,1
133,ドわすれ,amnesia,エスパー,へんか,,,20,0,第一世代,Raises the user’s Special Defense by two stages.,0,0,0,0,0,0,0,0,0,0,0,0,0
134,スプーンまげ,kinesis,エスパー,へんか,,80,15,0,第一世代,Lowers the target’s accuracy by one stage.,0,0,0,0,0,0,0,0,0,0,1,1,1
135,タマゴうみ,soft-boiled,ノーマル,へんか,,,5,0,第一世代,Heals the user by half its max HP.,0,0,0,0,0,0,0,0,0,1,0,0,0
136,とびひざげり,high-jump-kick,かくとう,ぶつり,130,90,10,0,第一世代,"If the user misses, it takes half the damage it would have inflicted in recoil.",1,0,0,0,0,0,0,0,0,0,1,0,1
137,へびにらみ,glare,ノーマル,へんか,,100,30,0,第一世代,Paralyzes the target.,0,0,0,0,0,0,0,0,0,0,1,1,1
138,ゆめくい,dream-eater,エスパー,とくしゅ,100,100,15,0,第一世代,Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.,0,0,0,0,0,0,0,0,0,1,1,0,1
139,どくガス,poison-gas,どく,へんか,,90,40,0,第一世代,Poisons the target.,0,0,0,0,0,0,0,0,0,0,1,1,1
140,たまなげ,barrage,ノーマル,ぶつり,15,85,20,0,第一世代,Hits 2-5 times in one turn.,0,0,0,1,0,0,0,0,0,0,1,0,1
141,きゅうけつ,leech-life,むし,ぶつり,80,100,10,0,第一世代,Drains half the damage inflicted to heal the user.,1,0,0,0,0,0,0,0,0,1,1,0,1
142,あくまのキッス,lovely-kiss,ノーマル,へんか,,75,10,0,第一世代,Puts the target to sleep.,0,0,0,0,0,0,0,0,0,0,1,1,1
143,ゴッドバード,sky-attack,ひこう,ぶつり,140,90,5,0,第一世代,User charges for one turn before attacking.  Has a chance to make the target flinch.,0,0,0,0,0,0,0,0,0,0,1,0,1
144,へんしん,transform,ノーマル,へんか,,,10,0,第一世代,User becomes a copy of the target until it leaves battle.,0,0,0,0,0,0,0,0,0,0,0,0,0
145,あわ,bubble,みず,とくしゅ,40,100,30,0,第一世代,Has a chance to lower the target’s Speed by one stage.,0,0,0,0,0,0,0,0,0,0,1,0,1
146,ピヨピヨパンチ,dizzy-punch,ノーマル,ぶつり,70,100,10,0,第一世代,Has a chance to confuse the target.,1,1,0,0,0,0,0,0,0,0,1,0,1
147,キノコのほうし,spore,くさ,へんか,,100,15,0,第一世代,Puts the target to sleep.,0,0,0,0,0,0,0,0,1,0,1,1,1
148,フラッシュ,flash,ノーマル,へんか,,100,20,0,第一世代,Lowers the target’s accuracy by one stage.,0,0,0,0,0,0,0,0,0,0,1,1,1
149,サイコウェーブ,psywave,エスパー,とくしゅ,,100,15,0,第一世代,Inflicts damage between 50% and 150% of the user’s level.,0,0,0,0,0,0,0,0,0,0,0,0,0
150,はねる,splash,ノーマル,へんか,,,40,0,第一世代,Does nothing.,0,0,0,0,0,0,0,0,0,0,0,0,0
151,とける,acid-armor,どく,へんか,,,20,0,第一世代,Raises the user’s Defense by two stages.,0,0,0,0,0,0,0,0,0,0,0,0,0
152,クラブハンマー,crabhammer,みず,ぶつり,100,90,10,0,第一世代,Has an increased chance for a critical hit.,1,0,0,0,0,0,0,0,0,0,1,0,1
153,だいばくはつ,explosion,ノーマル,ぶつり,250,100,5,0,第一世代,User faints.,0,0,0,0,0,0,0,0,0,0,1,0,1
154,みだれひっかき,fury-swipes,ノーマル,ぶつり,18,80,15,0,第一世代,Hits 2-5 times in one turn.,1,0,0,0,0,0,0,0,0,0,1,0,1
155,ホネブーメラン,bonemerang,じめん,ぶつり,50,90,10,0,第一世代,Hits twice in one turn.,0,0,0,0,0,0,0,0,0,0,1,0,1
156,ねむる,rest,エスパー,へんか,,,5,0,第一世代,"User sleeps for two turns, completely healing itself.",0,0,0,0,0,0,0,0,0,1,0,0,0
157,いわなだれ,rock-slide,いわ,ぶつり,75,90,10,0,第一世代,Has a chance to make the target flinch.,0,0,0,0,0,0,0,0,0,0,1,0,1
158,ひっさつまえば,hyper-fang,ノーマル,ぶつり,80,90,15,0,第一世代,Has a chance to make the target flinch.,1,0,0,0,0,0,0,1,0,0,1,0,1
159,かくばる,sharpen,ノーマル,へんか,,,30,0,第一世代,Raises the user’s Attack by one stage.,0,0,0,0,0,0,0,0,0,0,0,0,0
160,テクスチャー,conversion,ノーマル,へんか,,,30,0,第一世代,User’s type changes to the type of one of its moves at random.,0,0,0,0,0,0,0,0,0,0,0,0,0
161,トライアタック,tri-attack,ノーマル,とくしゅ,80,100,10,0,第一世代,"Has a chance to burn, freeze, or paralyze the target.",0,0,0,0,0,0,0,0,0,0,1,0,1
162,いかりのまえば,super-fang,ノーマル,ぶつり,,90,10,0,第一世代,Inflicts damage equal to half the target’s HP.,0,0,0,0,0,0,0,0,0,0,0,0,0
163,きりさく,slash,ノーマル,ぶつり,70,100,20,0,第一世代,Has an increased chance for a critical hit.,1,0,0,0,0,1,0,0,0,0,1,0,1
164,みがわり,substitute,ノーマル,へんか,,,10,0,第一世代,"Transfers 1/4 of the user’s max HP into a doll, protecting the user from further damage or status changes until it breaks.",0,0,0,0,0,0,0,0,0,0,0,0,0
165,わるあがき,struggle,ノーマル,ぶつり,50,,1,0,第一世代,User takes 1/4 its max HP in recoil.,1,0,0,0,0,0,0,0,0,0,1,0,0
166,スケッチ,sketch,ノーマル,へんか,,,1,0,第二世代,Permanently becomes the target’s last used move.,0,0,0,0,0,0,0,0,0,0,0,0,0
167,トリプルキック,triple-kick,かくとう,ぶつり,10,90,10,0,第二世代,"Hits three times, increasing power by 100% with each successful hit.",0,0,0,0,0,0,0,0,0,0,0,0,0
168,どろぼう,thief,あく,ぶつり,60,100,25,0,第二世代,Takes the target’s item.,1,0,0,0,0,0,0,0,0,0,1,0,1
169,クモのす,spider-web,むし,へんか,,,10,0,第二世代,Prevents the target from leaving battle.,0,0,0,0,0,0,0,0,0,0,1,1,1
170,こころのめ,mind-reader,ノーマル,へんか,,,5,0,第二世代,Ensures that the user’s next move will hit the target.,0,0,0,0,0,0,0,0,0,0,1,0,1
171,あくむ,nightmare,ゴースト,へんか,,100,15,0,第二世代,Target loses 1/4 its max HP every turn as long as it’s asleep.,0,0,0,0,0,0,0,0,0,0,1,0,1
172,かえんぐるま,flame-wheel,ほのお,ぶつり,60,100,25,0,第二世代,Has a chance to burn the target.  Lets frozen Pokémon thaw themselves.,1,0,0,0,0,0,0,0,0,0,1,0,1
173,いびき,snore,ノーマル,とくしゅ,50,100,15,0,第二世代,Has a chance to make the target flinch.  Only works if the user is sleeping.,0,0,1,0,0,0,0,0,0,0,1,0,1
