id,name_ja,name_en,category_en,fling_power,effect_en
58,ディフェンダー,x-defense,stat-boosts,30,Raises Defense by one stage in battle.  Raises happiness.
59,スピーダー,x-speed,stat-boosts,30,Raises Speed by one stage in battle.  Raises happiness.
60,ヨクアタール,x-accuracy,stat-boosts,30,Raises accuracy by one stage in battle.  Raises happiness.
61,スペシャルアップ,x-sp-atk,stat-boosts,30,Raises Special Attack by one stage in battle.  Raises happiness.
62,スペシャルガード,x-sp-def,stat-boosts,30,Raises Special Defense by one stage in battle.  Raises happiness.
63,ピッピにんぎょう,poke-doll,spelunking,30,Ends a wild battle.
64,エネコのシッポ,fluffy-tail,spelunking,30,Ends a wild battle.
65,あおいビードロ,blue-flute,flutes,30,Cures sleep.
66,きいろビードロ,yellow-flute,flutes,30,Cures confusion.
67,あかいビードロ,red-flute,flutes,30,Cures attraction.
68,くろいビードロ,black-flute,spelunking,30,Halves the wild Pokémon encounter rate.
69,しろいビードロ,white-flute,spelunking,30,Doubles the wild Pokémon encounter rate.
70,あさせのしお,shoal-salt,collectibles,30,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.
71,あさせのかいがら,shoal-shell,collectibles,30,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.
72,あかいかけら,red-shard,collectibles,30,No effect. Can be traded for items or moves.
73,あおいかけら,blue-shard,collectibles,30,No effect. Can be traded for items or moves.
74,きいろいかけら,yellow-shard,collectibles,30,No effect. Can be traded for items or moves.
75,みどりのかけら,green-shard,collectibles,30,No effect. Can be traded for items or moves.
76,シルバースプレー,super-repel,spelunking,30,"For 200 steps, prevents wild encounters of level lower than your party’s lead Pokémon."
77,ゴールドスプレー,max-repel,spelunking,30,"For 250 steps, prevents wild encounters of level lower than your party’s lead Pokémon."
78,あなぬけのヒモ,escape-rope,spelunking,30,Transports user to the outside entrance of a cave.
79,むしよけスプレー,repel,spelunking,30,"For 100 steps, prevents wild encounters of level lower than your party’s lead Pokémon."
80,たいようのいし,sun-stone,evolution,30,"Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora."
81,つきのいし,moon-stone,evolution,30,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty."
82,ほのおのいし,fire-stone,evolution,30,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales."
83,かみなりのいし,thunder-stone,evolution,30,"Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu."
84,みずのいし,water-stone,evolution,30,"Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie."
85,リーフのいし,leaf-stone,evolution,30,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel."
86,ちいさなキノコ,tiny-mushroom,loot,30,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars."
87,おおきなキノコ,big-mushroom,loot,30,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars."
88,しんじゅ,pearl,loot,30,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars."
89,おおきなしんじゅ,big-pearl,loot,30,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars."
90,ほしのすな,stardust,loot,30,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars."
91,ほしのかけら,star-piece,loot,30,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars."
92,きんのたま,nugget,loot,30,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars."
93,ハートのウロコ,heart-scale,collectibles,30,No effect. Can be traded for prior Level-up moves.
94,あまいミツ,honey,dex-completion,30,"Used outside of battle :   Immediately triggers a wild Pokémon battle, as long as the trainer is somewhere with wild Pokémon—i.e., in tall grass, in a cave, or surfing.  Can be smeared on sweet-smelling trees to attract tree-dwelling Pokémon after six hours."
95,すくすくこやし,growth-mulch,mulch,30,"Growing time of berries is reduced, but the soil dries out faster."
96,じめじめこやし,damp-mulch,mulch,30,"Growing time of berries is increased, but the soil dries out slower."
97,ながながこやし,stable-mulch,mulch,30,Berries stay on the plant for longer than their usual time.
98,ねばねばこやし,gooey-mulch,mulch,30,Berries regrow from dead plants an increased number of times.
99,ねっこのカセキ,root-fossil,dex-completion,100,Can be revived into a Lileep.
100,ツメのカセキ,claw-fossil,dex-completion,100,Can be revived into an Anorith.
101,かいのカセキ,helix-fossil,dex-completion,100,Can be revived into an Omanyte.
102,こうらのカセキ,dome-fossil,dex-completion,100,Can be revived into a Kabuto.
103,ひみつのコハク,old-amber,dex-completion,100,Can be revived into an Aerodactyl.
104,たてのカセキ,armor-fossil,dex-completion,100,Can be revived into a Shieldon.
105,ずがいのカセキ,skull-fossil,dex-completion,100,Can be revived into a Cranidos.
106,きちょうなホネ,rare-bone,loot,100,"Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars."
107,ひかりのいし,shiny-stone,evolution,80,"Evolves a Minccino into Cinccino, a Roselia into Roserade, or a Togetic into Togekiss."
108,やみのいし,dusk-stone,evolution,80,"Evolves a Lampent into Chandelure, a Misdreavus into Mismagius, or a Murkrow into Honchkrow."
109,めざめいし,dawn-stone,evolution,80,Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.
110,まんまるいし,oval-stone,evolution,80,Level-up during Day on a Happiny: Holder evolves into Chansey.
111,かなめいし,odd-keystone,dex-completion,80,Use on the tower on Route 209 to encounter Spiritomb if you have at least 32 Underground greetings.
112,こんごうだま,adamant-orb,species-specific,60,Boosts the damage from Dialga’s Dragon-type and Steel-type moves by 20%.
113,しらたま,lustrous-orb,species-specific,60,Boosts the damage from Palkia’s Dragon-type and Water-type moves by 20%.
114,グラスメール,grass-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
115,フレイムメール,flame-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
116,ブルーメール,bubble-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
117,ブルームメール,bloom-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
118,トンネルメール,tunnel-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
119,スチールメール,steel-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
120,ラブラブメール,heart-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
121,ブリザードメール,snow-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
122,スペースメール,space-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
123,エアメール,air-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
124,モザイクメール,mosaic-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
125,ブリックメール,brick-mail,all-mail,,Lets a Trainer write a message and send it via Pokémon trade.
126,クラボのみ,cheri-berry,medicine,10,Held: Consumed when paralyzed to cure paralysis.
127,カゴのみ,chesto-berry,medicine,10,Held: Consumed when asleep to cure sleep.
128,モモンのみ,pecha-berry,medicine,10,Held: Consumed when poisoned to cure poison.
129,チーゴのみ,rawst-berry,medicine,10,Held: Consumed when burned to cure a burn.
130,ナナシのみ,aspear-berry,medicine,10,Held: Consumed when frozen to cure frozen.
131,ヒメリのみ,leppa-berry,medicine,10,Held: Consumed when a move runs out of PP to restore its PP by 10.
132,オレンのみ,oran-berry,medicine,10,Held: Consumed at 1/2 max HP to recover 10 HP.
133,キーのみ,persim-berry,medicine,10,Held: Consumed when confused to cure confusion.
134,ラムのみ,lum-berry,medicine,10,Held: Consumed to cure any status condition or confusion.
135,オボンのみ,sitrus-berry,medicine,10,Held: Consumed at 1/2 max HP to recover 1/4 max HP.
136,フィラのみ,figy-berry,picky-healing,10,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.
137,ウイのみ,wiki-berry,picky-healing,10,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike dry flavor.
138,マゴのみ,mago-berry,picky-healing,10,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.
139,バンジのみ,aguav-berry,picky-healing,10,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.
140,イアのみ,iapapa-berry,picky-healing,10,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.
141,ズリのみ,razz-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
142,ブリーのみ,bluk-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
143,ナナのみ,nanab-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
144,セシナのみ,wepear-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
145,パイルのみ,pinap-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
146,ザロクのみ,pomeg-berry,effort-drop,10,Drops HP Effort Values by 10 and raises happiness.
147,ネコブのみ,kelpsy-berry,effort-drop,10,Drops Attack Effort Values by 10 and raises happiness.
148,タポルのみ,qualot-berry,effort-drop,10,Drops Defense Effort Values by 10 and raises happiness.
149,ロメのみ,hondew-berry,effort-drop,10,Drops Special Attack Effort Values by 10 and raises happiness.
150,ウブのみ,grepa-berry,effort-drop,10,Drops Special Defense Effort Values by 10 and raises happiness.
151,マトマのみ,tamato-berry,effort-drop,10,Drops Speed Effort Values by 10 and raises happiness.
152,モコシのみ,cornn-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
153,ゴスのみ,magost-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
154,ラブタのみ,rabuta-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
155,ノメルのみ,nomel-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
156,ノワキのみ,spelon-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
157,シーヤのみ,pamtre-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
158,カイスのみ,watmel-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
159,ドリのみ,durin-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
160,ベリブのみ,belue-berry,baking-only,10,Used for creating PokéBlocks and Poffins.
161,オッカのみ,occa-berry,type-protection,10,Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.
162,イトケのみ,passho-berry,type-protection,10,Held: Consumed when struck by a super-effective Water-type attack to halve the damage.
163,ソクノのみ,wacan-berry,type-protection,10,Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.
164,リンドのみ,rindo-berry,type-protection,10,Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.
165,ヤチェのみ,yache-berry,type-protection,10,Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.
166,ヨプのみ,chople-berry,type-protection,10,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.
167,ビアーのみ,kebia-berry,type-protection,10,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.
168,シュカのみ,shuca-berry,type-protection,10,Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.
169,バコウのみ,coba-berry,type-protection,10,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.
170,ウタンのみ,payapa-berry,type-protection,10,Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.
171,タンガのみ,tanga-berry,type-protection,10,Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.
172,ヨロギのみ,charti-berry,type-protection,10,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.
173,カシブのみ,kasib-berry,type-protection,10,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.
174,ハバンのみ,haban-berry,type-protection,10,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.
175,ナモのみ,colbur-berry,type-protection,10,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.
176,リリバのみ,babiri-berry,type-protection,10,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.
177,ホズのみ,chilan-berry,type-protection,10,Held: Consumed when struck by a Normal-type attack to halve the damage.
178,チイラのみ,liechi-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost Attack.
179,リュガのみ,ganlon-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost Defense.
180,カムラのみ,salac-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost Speed.
181,ヤタピのみ,petaya-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost Special Attack.
182,ズアのみ,apicot-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost Special Defense.
183,サンのみ,lansat-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.
184,スターのみ,starf-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost a random stat by two stages.
185,ナゾのみ,enigma-berry,other,10,Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.
186,ミクルのみ,micle-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy)
187,イバンのみ,custap-berry,in-a-pinch,10,Held: Consumed at 1/4 max HP when using a move to go first.
188,ジャポのみ,jaboca-berry,other,10,Held: Consumed to deal 1/8 attacker’s max HP when holder is struck by a physical attack.
189,レンブのみ,rowap-berry,other,10,Held: Consumed to deal 1/8 attacker’s max HP when holder is struck by a special attack.
190,ひかりのこな,bright-powder,held-items,10,Held: Increases the holder’s evasion by 1/9 (11 1/9%).
191,しろいハーブ,white-herb,held-items,10,Held: Resets all lowered stats to normal at end of turn. Consumed after use.
192,きょうせいギプス,macho-brace,effort-training,60,"Held: Holder gains double effort values from battles, but has halved Speed in battle."
193,がくしゅうそうち,exp-share,training,,Held: Half the experience from a battle is split between Pokémon holding this item.
194,せんせいのツメ,quick-claw,held-items,80,Held: Holder has a 3/16 (18.75%) chance to move first.
195,やすらぎのすず,soothe-bell,training,10,Held: Doubles the happiness earned by the holder.
196,メンタルハーブ,mental-herb,held-items,10,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body."
197,こだわりハチマキ,choice-band,choice,10,"Held: Increases Attack by 50%, but restricts the holder to only one move."
198,おうじゃのしるし,kings-rock,held-items,30,Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.
199,ぎんのこな,silver-powder,type-enhancement,10,Held: Bug-Type moves from holder do 20% more damage.
200,おまもりこばん,amulet-coin,training,30,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.
201,きよめのおふだ,cleanse-tag,training,30,Prevents wild encounters of level lower than your party’s lead Pokémon.
202,こころのしずく,soul-dew,species-specific,30,Raises Latias and Latios’s Special Attack and Special Defense by 50%.
203,しんかいのキバ,deep-sea-tooth,species-specific,90,Doubles Clamperl’s Special Attack. Traded on a Clamperl: Holder evolves into Huntail.
204,しんかいのウロコ,deep-sea-scale,species-specific,30,Doubles Clamperl’s Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.
205,けむりだま,smoke-ball,held-items,30,Held: Allows the Holder to escape from any wild battle.
206,かわらずのいし,everstone,training,30,Held: Prevents level-based evolution from occuring.
207,きあいのハチマキ,focus-band,held-items,10,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.
208,しあわせタマゴ,lucky-egg,training,30,Held: Increases EXP earned in battle by 50%.
209,ピントレンズ,scope-lens,held-items,30,Held: Raises the holder’s critical hit ratio by one stage.
210,メタルコート,metal-coat,type-enhancement,30,Held: Steel-Type moves from holder do 20% more damage.
211,たべのこし,leftovers,held-items,10,Held: Restores 1/16 (6.25%) holder’s max HP at the end of each turn.
212,りゅうのウロコ,dragon-scale,evolution,30,Traded on a Seadra: Holder evolves into Kingdra.
213,でんきだま,light-ball,species-specific,30,Doubles Pikachu’s Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.
214,やわらかいすな,soft-sand,type-enhancement,10,Held: Ground-Type moves from holder do 20% more damage.
215,かたいいし,hard-stone,type-enhancement,100,Held: Rock-Type moves from holder do 20% more damage.
216,きせきのタネ,miracle-seed,type-enhancement,30,Held: Grass-Type moves from holder do 20% more damage.
217,くろいメガネ,black-glasses,type-enhancement,30,Held: Dark-Type moves from holder do 20% more damage.
218,くろおび,black-belt,type-enhancement,30,Held: Fighting-Type moves from holder do 20% more damage.
219,じしゃく,magnet,type-enhancement,30,Held: Electric-Type moves from holder do 20% more damage.
220,しんぴのしずく,mystic-water,type-enhancement,30,Held: Water-Type moves from holder do 20% more damage.
221,するどいくちばし,sharp-beak,type-enhancement,50,Held: Flying-Type moves from holder do 20% more damage.
222,どくバリ,poison-barb,type-enhancement,70,Held: Poison-Type moves from holder do 20% more damage.
223,とけないこおり,never-melt-ice,type-enhancement,30,Held: Ice-Type moves from holder do 20% more damage.
224,のろいのおふだ,spell-tag,type-enhancement,30,Held: Ghost-Type moves from holder do 20% more damage.
225,まがったスプーン,twisted-spoon,type-enhancement,30,Held: Psychic-Type moves from holder do 20% more damage.
226,もくたん,charcoal,type-enhancement,30,Held: Fire-Type moves from holder do 20% more damage.
227,りゅうのキバ,dragon-fang,type-enhancement,70,Held: Dragon-Type moves from holder do 20% more damage.
228,シルクのスカーフ,silk-scarf,type-enhancement,10,Held: Normal-Type moves from holder do 20% more damage.
229,アップグレード,up-grade,evolution,30,Traded on a Porygon: Holder evolves into Porygon2.
230,かいがらのすず,shell-bell,held-items,30,Held: Holder receives 1/8 of the damage it deals when attacking.
231,うしおのおこう,sea-incense,type-enhancement,10,Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.
232,のんきのおこう,lax-incense,held-items,10,Held: Holder’s evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.
233,ラッキーパンチ,lucky-punch,species-specific,40,Raises Chansey’s critical hit ratio by two stages.
234,メタルパウダー,metal-powder,species-specific,10,Raises Ditto’s Defense and Special Defense by 50%. The boost is lost after transforming.
235,ふといホネ,thick-club,species-specific,90,Doubles Cubone or Marowak’s Attack.
236,ながねぎ,stick,species-specific,60,Raises Farfetch’d’s critical hit ratio by two stages.
237,あかいバンダナ,red-scarf,scarves,10,Raises the holder’s Coolness while in a contest.
238,あおいバンダナ,blue-scarf,scarves,10,Raises the holder’s Beauty while in a contest.
239,ピンクのバンダナ,pink-scarf,scarves,10,Raises the holder’s Cuteness while in a contest.
240,みどりのバンダナ,green-scarf,scarves,10,Raises the holder’s Smartness while in a contest.
241,きいろのバンダナ,yellow-scarf,scarves,10,Raises the holder’s Toughness while in a contest.
242,こうかくレンズ,wide-lens,held-items,10,Held: Provides a 1/10 (10%) boost in accuracy to the holder.
243,ちからのハチマキ,muscle-band,held-items,10,Held: Boosts the damage of physical moves used by the holder by 10%.
244,ものしりメガネ,wise-glasses,held-items,10,Held: Boosts the damage of special moves used by the holder by 1/10 (10%).
245,たつじんのおび,expert-belt,held-items,10,Held: Holder’s Super Effective moves do 20% extra damage.
246,ひかりのねんど,light-clay,held-items,30,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.
247,いのちのたま,life-orb,held-items,30,"Held: Holder’s moves inflict 30% extra damage, but cost 10% max HP."
248,パワフルハーブ,power-herb,held-items,10,Held: Both turns of a two-turn charge move happen at once. Consumed upon use.
249,どくどくだま,toxic-orb,bad-held-items,30,Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.
250,かえんだま,flame-orb,bad-held-items,30,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.
251,スピードパウダー,quick-powder,species-specific,10,Doubles Ditto’s Speed when held. The boost is lost after transforming.
252,きあいのタスキ,focus-sash,held-items,10,"Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed."
253,フォーカスレンズ,zoom-lens,held-items,10,Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.
254,メトロノーム,metronome,held-items,30,Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.
255,くろいてっきゅう,iron-ball,bad-held-items,130,"Held: Holder’s Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder."
256,こうこうのしっぽ,lagging-tail,bad-held-items,10,Held: Holder moves last in its priority bracket.
257,あかいいと,destiny-knot,held-items,10,Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.
258,くろいヘドロ,black-sludge,held-items,30,Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.
259,つめたいいわ,icy-rock,held-items,40,Held: Hail by the holder lasts 8 rounds instead of 5.
260,さらさらいわ,smooth-rock,held-items,10,Held: Sandstorm by the holder lasts 8 rounds instead of 5.
261,あついいわ,heat-rock,held-items,60,Held: Sunny Day by the holder lasts 8 rounds instead of 5.
262,しめったいわ,damp-rock,held-items,60,Held: Rain Dance by the holder lasts 8 rounds instead of 5.
263,ねばりのかぎづめ,grip-claw,held-items,90,Held: Holder’s multi-turn trapping moves last 5 turns.
264,こだわりスカーフ,choice-scarf,choice,10,"Held: Increases Speed by 50%, but restricts the holder to only one move."
265,くっつきバリ,sticky-barb,bad-held-items,80,"Held: Holder takes 1/8 (12.5%) its max HP at the end of each turn. When the holder is hit by a contact move, the attacking Pokémon takes 1/8 its max HP in damage and receive the item if not holding one."
266,パワーリスト,power-bracer,effort-training,70,"Held: Holder gains 4 Attack effort values, but has halved Speed in battle."
267,パワーベルト,power-belt,effort-training,70,"Held: Holder gains 4 Defense effort values, but has halved Speed in battle."
268,パワーレンズ,power-lens,effort-training,70,"Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle."
269,パワーバンド,power-band,effort-training,70,"Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle."
270,パワーアンクル,power-anklet,effort-training,70,"Held: Holder gains 4 Speed effort values, but has halved Speed in battle."
271,パワーウエイト,power-weight,effort-training,70,"Held: Holder gains 4 HP effort values, but has halved Speed in battle."
272,きれいなぬけがら,shed-shell,held-items,10,Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.
273,おおきなねっこ,big-root,held-items,10,"Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%)."
274,こだわりメガネ,choice-specs,choice,10,"Held: Increases Special Attack by 50%, but restricts the holder to only one move."
275,ひのたまプレート,flame-plate,plates,90,Held: Fire-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Fire.
276,しずくプレート,splash-plate,plates,90,Held: Water-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Water.
277,いかずちプレート,zap-plate,plates,90,Held: Electric-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Electric.
