id,name_ja,name_en,dex_no,generation,type1_ja,type2_ja,hp,attack,defense,sp_attack,sp_defense,speed,base_total,ability1_ja,ability2_ja,hidden_ability_ja,height_m,weight_kg,is_legendary,is_mythical
15,スピアー,beedrill,15,第一世代,むし,どく,65,90,40,45,80,75,395,むしのしらせ,,スナイパー,1.0,29.5,False,False
16,ポッポ,pidgey,16,第一世代,ノーマル,ひこう,40,45,40,35,35,56,251,するどいめ,ちどりあし,はとむね,0.3,1.8,False,False
17,ピジョン,pidgeotto,17,第一世代,ノーマル,ひこう,63,60,55,50,50,71,349,するどいめ,ちどりあし,はとむね,1.1,30.0,False,False
18,ピジョット,pidgeot,18,第一世代,ノーマル,ひこう,83,80,75,70,70,101,479,するどいめ,ちどりあし,はとむね,1.5,39.5,False,False
19,コラッタ,rattata,19,第一世代,ノーマル,,30,56,35,25,35,72,253,にげあし,こんじょう,はりきり,0.3,3.5,False,False
20,ラッタ,raticate,20,第一世代,ノーマル,,55,81,60,50,70,97,413,にげあし,こんじょう,はりきり,0.7,18.5,False,False
21,オニスズメ,spearow,21,第一世代,ノーマル,ひこう,40,60,30,31,31,70,262,するどいめ,,スナイパー,0.3,2.0,False,False
22,オニドリル,fearow,22,第一世代,ノーマル,ひこう,65,90,65,61,61,100,442,するどいめ,,スナイパー,1.2,38.0,False,False
23,アーボ,ekans,23,第一世代,どく,,35,60,44,40,54,55,288,いかく,だっぴ,きんちょうかん,2.0,6.9,False,False
24,アーボック,arbok,24,第一世代,どく,,60,95,69,65,79,80,448,いかく,だっぴ,きんちょうかん,3.5,65.0,False,False
25,ピカチュウ,pikachu,25,第一世代,でんき,,35,55,40,50,50,90,320,せいでんき,,ひらいしん,0.4,6.0,False,False
26,ライチュウ,raichu,26,第一世代,でんき,,60,90,55,90,80,110,485,せいでんき,,ひらいしん,0.8,30.0,False,False
27,サンド,sandshrew,27,第一世代,じめん,,50,75,85,20,30,40,300,すながくれ,,すなかき,0.6,12.0,False,False
28,サンドパン,sandslash,28,第一世代,じめん,,75,100,110,45,55,65,450,すながくれ,,すなかき,1.0,29.5,False,False
29,ニドラン♀,nidoran-f,29,第一世代,どく,,55,47,52,40,40,41,275,どくのトゲ,とうそうしん,はりきり,0.4,7.0,False,False
30,ニドリーナ,nidorina,30,第一世代,どく,,70,62,67,55,55,56,365,どくのトゲ,とうそうしん,はりきり,0.8,20.0,False,False
31,ニドクイン,nidoqueen,31,第一世代,どく,じめん,90,92,87,75,85,76,505,どくのトゲ,とうそうしん,ちからずく,1.3,60.0,False,False
32,ニドラン♂,nidoran-m,32,第一世代,どく,,46,57,40,40,40,50,273,どくのトゲ,とうそうしん,はりきり,0.5,9.0,False,False
33,ニドリーノ,nidorino,33,第一世代,どく,,61,72,57,55,55,65,365,どくのトゲ,とうそうしん,はりきり,0.9,19.5,False,False
34,ニドキング,nidoking,34,第一世代,どく,じめん,81,102,77,85,75,85,505,どくのトゲ,とうそうしん,ちからずく,1.4,62.0,False,False
35,ピッピ,clefairy,35,第一世代,フェアリー,,70,45,48,60,65,35,323,メロメロボディ,マジックガード,フレンドガード,0.6,7.5,False,False
36,ピクシー,clefable,36,第一世代,フェアリー,,95,70,73,95,90,60,483,メロメロボディ,マジックガード,てんねん,1.3,40.0,False,False
37,ロコン,vulpix,37,第一世代,ほのお,,38,41,40,50,65,65,299,もらいび,,ひでり,0.6,9.9,False,False
38,キュウコン,ninetales,38,第一世代,ほのお,,73,76,75,81,100,100,505,もらいび,,ひでり,1.1,19.9,False,False
39,プリン,jigglypuff,39,第一世代,ノーマル,フェアリー,115,45,20,45,25,20,270,メロメロボディ,かちき,フレンドガード,0.5,5.5,False,False
40,プクリン,wigglytuff,40,第一世代,ノーマル,フェアリー,140,70,45,85,50,45,435,メロメロボディ,かちき,おみとおし,1.0,12.0,False,False
41,ズバット,zubat,41,第一世代,どく,ひこう,40,45,35,30,40,55,245,せいしんりょく,,すりぬけ,0.8,7.5,False,False
42,ゴルバット,golbat,42,第一世代,どく,ひこう,75,80,70,65,75,90,455,せいしんりょく,,すりぬけ,1.6,55.0,False,False
43,ナゾノクサ,oddish,43,第一世代,くさ,どく,45,50,55,75,65,30,320,ようりょくそ,,にげあし,0.5,5.4,False,False
44,クサイハナ,gloom,44,第一世代,くさ,どく,60,65,70,85,75,40,395,ようりょくそ,,あくしゅう,0.8,8.6,False,False
45,ラフレシア,vileplume,45,第一世代,くさ,どく,75,80,85,110,90,50,490,ようりょくそ,,ほうし,1.2,18.6,False,False
46,パラス,paras,46,第一世代,むし,くさ,35,70,55,45,55,25,285,ほうし,かんそうはだ,しめりけ,0.3,5.4,False,False
47,パラセクト,parasect,47,第一世代,むし,くさ,60,95,80,60,80,30,405,ほうし,かんそうはだ,しめりけ,1.0,29.5,False,False
48,コンパン,venonat,48,第一世代,むし,どく,60,55,50,40,55,45,305,ふくがん,いろめがね,にげあし,1.0,30.0,False,False
49,モルフォン,venomoth,49,第一世代,むし,どく,70,65,60,90,75,90,450,りんぷん,いろめがね,ミラクルスキン,1.5,12.5,False,False
50,ディグダ,diglett,50,第一世代,じめん,,10,55,25,35,45,95,265,すながくれ,ありじごく,すなのちから,0.2,0.8,False,False
51,ダグトリオ,dugtrio,51,第一世代,じめん,,35,100,50,50,70,120,425,すながくれ,ありじごく,すなのちから,0.7,33.3,False,False
52,ニャース,meowth,52,第一世代,ノーマル,,40,45,35,40,40,90,290,ものひろい,テクニシャン,きんちょうかん,0.4,4.2,False,False
53,ペルシアン,persian,53,第一世代,ノーマル,,65,70,60,65,65,115,440,じゅうなん,テクニシャン,きんちょうかん,1.0,32.0,False,False
54,コダック,psyduck,54,第一世代,みず,,50,52,48,65,50,55,320,しめりけ,ノーてんき,すいすい,0.8,19.6,False,False
55,ゴルダック,golduck,55,第一世代,みず,,80,82,78,95,80,85,500,しめりけ,ノーてんき,すいすい,1.7,76.6,False,False
56,マンキー,mankey,56,第一世代,かくとう,,40,80,35,35,45,70,305,やるき,いかりのつぼ,まけんき,0.5,28.0,False,False
57,オコリザル,primeape,57,第一世代,かくとう,,65,105,60,60,70,95,455,やるき,いかりのつぼ,まけんき,1.0,32.0,False,False
58,ガーディ,growlithe,58,第一世代,ほのお,,55,70,45,70,50,60,350,いかく,もらいび,せいぎのこころ,0.7,19.0,False,False
59,ウインディ,arcanine,59,第一世代,ほのお,,90,110,80,100,80,95,555,いかく,もらいび,せいぎのこころ,1.9,155.0,False,False
60,ニョロモ,poliwag,60,第一世代,みず,,40,50,40,40,40,90,300,ちょすい,しめりけ,すいすい,0.6,12.4,False,False
61,ニョロゾ,poliwhirl,61,第一世代,みず,,65,65,65,50,50,90,385,ちょすい,しめりけ,すいすい,1.0,20.0,False,False
62,ニョロボン,poliwrath,62,第一世代,みず,かくとう,90,95,95,70,90,70,510,ちょすい,しめりけ,すいすい,1.3,54.0,False,False
63,ケーシィ,abra,63,第一世代,エスパー,,25,20,15,105,55,90,310,シンクロ,せいしんりょく,マジックガード,0.9,19.5,False,False
64,ユンゲラー,kadabra,64,第一世代,エスパー,,40,35,30,120,70,105,400,シンクロ,せいしんりょく,マジックガード,1.3,56.5,False,False
65,フーディン,alakazam,65,第一世代,エスパー,,55,50,45,135,95,120,500,シンクロ,せいしんりょく,マジックガード,1.5,48.0,False,False
66,ワンリキー,machop,66,第一世代,かくとう,,70,80,50,35,35,35,305,こんじょう,ノーガード,ふくつのこころ,0.8,19.5,False,False
67,ゴーリキー,machoke,67,第一世代,かくとう,,80,100,70,50,60,45,405,こんじょう,ノーガード,ふくつのこころ,1.5,70.5,False,False
68,カイリキー,machamp,68,第一世代,かくとう,,90,130,80,65,85,55,505,こんじょう,ノーガード,ふくつのこころ,1.6,130.0,False,False
69,マダツボミ,bellsprout,69,第一世代,くさ,どく,50,75,35,70,30,40,300,ようりょくそ,,くいしんぼう,0.7,4.0,False,False
70,ウツドン,weepinbell,70,第一世代,くさ,どく,65,90,50,85,45,55,390,ようりょくそ,,くいしんぼう,1.0,6.4,False,False
71,ウツボット,victreebel,71,第一世代,くさ,どく,80,105,65,100,70,70,490,ようりょくそ,,くいしんぼう,1.7,15.5,False,False
72,メノクラゲ,tentacool,72,第一世代,みず,どく,40,40,35,50,100,70,335,クリアボディ,ヘドロえき,あめうけざら,0.9,45.5,False,False
73,ドククラゲ,tentacruel,73,第一世代,みず,どく,80,70,65,80,120,100,515,クリアボディ,ヘドロえき,あめうけざら,1.6,55.0,False,False
74,イシツブテ,geodude,74,第一世代,いわ,じめん,40,80,100,30,30,20,300,いしあたま,がんじょう,すながくれ,0.4,20.0,False,False
75,ゴローン,graveler,75,第一世代,いわ,じめん,55,95,115,45,45,35,390,いしあたま,がんじょう,すながくれ,1.0,105.0,False,False
76,ゴローニャ,golem,76,第一世代,いわ,じめん,80,120,130,55,65,45,495,いしあたま,がんじょう,すながくれ,1.4,300.0,False,False
77,ポニータ,ponyta,77,第一世代,ほのお,,50,85,55,65,65,90,410,にげあし,もらいび,ほのおのからだ,1.0,30.0,False,False
78,ギャロップ,rapidash,78,第一世代,ほのお,,65,100,70,80,80,105,500,にげあし,もらいび,ほのおのからだ,1.7,95.0,False,False
79,ヤドン,slowpoke,79,第一世代,みず,エスパー,90,65,65,40,40,15,315,どんかん,マイペース,さいせいりょく,1.2,36.0,False,False
80,ヤドラン,slowbro,80,第一世代,みず,エスパー,95,75,110,100,80,30,490,どんかん,マイペース,さいせいりょく,1.6,78.5,False,False
81,コイル,magnemite,81,第一世代,でんき,はがね,25,35,70,95,55,45,325,じりょく,がんじょう,アナライズ,0.3,6.0,False,False
82,レアコイル,magneton,82,第一世代,でんき,はがね,50,60,95,120,70,70,465,じりょく,がんじょう,アナライズ,1.0,60.0,False,False
83,カモネギ,farfetchd,83,第一世代,ノーマル,ひこう,52,90,55,58,62,60,377,するどいめ,せいしんりょく,まけんき,0.8,15.0,False,False
84,ドードー,doduo,84,第一世代,ノーマル,ひこう,35,85,45,35,35,75,310,にげあし,はやおき,ちどりあし,1.4,39.2,False,False
85,ドードリオ,dodrio,85,第一世代,ノーマル,ひこう,60,110,70,60,60,110,470,にげあし,はやおき,ちどりあし,1.8,85.2,False,False
86,パウワウ,seel,86,第一世代,みず,,65,45,55,45,70,45,325,あついしぼう,うるおいボディ,アイスボディ,1.1,90.0,False,False
87,ジュゴン,dewgong,87,第一世代,みず,こおり,90,70,80,70,95,70,475,あついしぼう,うるおいボディ,アイスボディ,1.7,120.0,False,False
88,ベトベター,grimer,88,第一世代,どく,,80,80,50,40,50,25,325,あくしゅう,ねんちゃく,どくしゅ,0.9,30.0,False,False
89,ベトベトン,muk,89,第一世代,どく,,105,105,75,65,100,50,500,あくしゅう,ねんちゃく,どくしゅ,1.2,30.0,False,False
90,シェルダー,shellder,90,第一世代,みず,,30,65,100,45,25,40,305,シェルアーマー,スキルリンク,ぼうじん,0.3,4.0,False,False
91,パルシェン,cloyster,91,第一世代,みず,こおり,50,95,180,85,45,70,525,シェルアーマー,スキルリンク,ぼうじん,1.5,132.5,False,False
92,ゴース,gastly,92,第一世代,ゴースト,どく,30,35,30,100,35,80,310,ふゆう,,,1.3,0.1,False,False
93,ゴースト,haunter,93,第一世代,ゴースト,どく,45,50,45,115,55,95,405,ふゆう,,,1.6,0.1,False,False
94,ゲンガー,gengar,94,第一世代,ゴースト,どく,60,65,60,130,75,110,500,のろわれボディ,,,1.5,40.5,False,False
95,イワーク,onix,95,第一世代,いわ,じめん,35,45,160,30,45,70,385,いしあたま,がんじょう,くだけるよろい,8.8,210.0,False,False
96,スリープ,drowzee,96,第一世代,エスパー,,60,48,45,43,90,42,328,ふみん,よちむ,せいしんりょく,1.0,32.4,False,False
97,スリーパー,hypno,97,第一世代,エスパー,,85,73,70,73,115,67,483,ふみん,よちむ,せいしんりょく,1.6,75.6,False,False
98,クラブ,krabby,98,第一世代,みず,,30,105,90,25,25,50,325,かいりきバサミ,シェルアーマー,ちからずく,0.4,6.5,False,False
99,キングラー,kingler,99,第一世代,みず,,55,130,115,50,50,75,475,かいりきバサミ,シェルアーマー,ちからずく,1.3,60.0,False,False
100,ビリリダマ,voltorb,100,第一世代,でんき,,40,30,50,55,55,100,330,ぼうおん,せいでんき,ゆうばく,0.5,10.4,False,False
101,マルマイン,electrode,101,第一世代,でんき,,60,50,70,80,80,150,490,ぼうおん,せいでんき,ゆうばく,1.2,66.6,False,False
102,タマタマ,exeggcute,102,第一世代,くさ,エスパー,60,40,80,60,45,40,325,ようりょくそ,,しゅうかく,0.4,2.5,False,False
103,ナッシー,exeggutor,103,第一世代,くさ,エスパー,95,95,85,125,75,55,530,ようりょくそ,,しゅうかく,2.0,120.0,False,False
104,カラカラ,cubone,104,第一世代,じめん,,50,50,95,40,50,35,320,いしあたま,ひらいしん,カブトアーマー,0.4,6.5,False,False
105,ガラガラ,marowak,105,第一世代,じめん,,60,80,110,50,80,45,425,いしあたま,ひらいしん,カブトアーマー,1.0,45.0,False,False
106,サワムラー,hitmonlee,106,第一世代,かくとう,,50,120,53,35,110,87,455,じゅうなん,すてみ,かるわざ,1.5,49.8,False,False
107,エビワラー,hitmonchan,107,第一世代,かくとう,,50,105,79,35,110,76,455,するどいめ,てつのこぶし,せいしんりょく,1.4,50.2,False,False
108,ベロリンガ,lickitung,108,第一世代,ノーマル,,90,55,75,60,75,30,385,マイペース,どんかん,ノーてんき,1.2,65.5,False,False
109,ドガース,koffing,109,第一世代,どく,,40,65,95,60,45,35,340,ふゆう,かがくへんかガス,あくしゅう,0.6,1.0,False,False
110,マタドガス,weezing,110,第一世代,どく,,65,90,120,85,70,60,490,ふゆう,かがくへんかガス,あくしゅう,1.2,9.5,False,False
111,サイホーン,rhyhorn,111,第一世代,じめん,いわ,80,85,95,30,30,25,345,ひらいしん,いしあたま,すてみ,1.0,115.0,False,False
112,サイドン,rhydon,112,第一世代,じめん,いわ,105,130,120,45,45,40,485,ひらいしん,いしあたま,すてみ,1.9,120.0,False,False
113,ラッキー,chansey,113,第一世代,ノーマル,,250,5,5,35,105,50,450,しぜんかいふく,てんのめぐみ,いやしのこころ,1.1,34.6,False,False
114,モンジャラ,tangela,114,第一世代,くさ,,65,55,115,100,40,60,435,ようりょくそ,リーフガード,さいせいりょく,1.0,35.0,False,False
115,ガルーラ,kangaskhan,115,第一世代,ノーマル,,105,95,80,40,80,90,490,はやおき,きもったま,せいしんりょく,2.2,80.0,False,False
116,タッツー,horsea,116,第一世代,みず,,30,40,70,70,25,60,295,すいすい,スナイパー,しめりけ,0.4,8.0,False,False
117,シードラ,seadra,117,第一世代,みず,,55,65,95,95,45,85,440,どくのトゲ,スナイパー,しめりけ,1.2,25.0,False,False
118,トサキント,goldeen,118,第一世代,みず,,45,67,60,35,50,63,320,すいすい,みずのベール,ひらいしん,0.6,15.0,False,False
119,アズマオウ,seaking,119,第一世代,みず,,80,92,65,65,80,68,450,すいすい,みずのベール,ひらいしん,1.3,39.0,False,False
120,ヒトデマン,staryu,120,第一世代,みず,,30,45,55,70,55,85,340,はっこう,しぜんかいふく,アナライズ,0.8,34.5,False,False
121,スターミー,starmie,121,第一世代,みず,エスパー,60,75,85,100,85,115,520,はっこう,しぜんかいふく,アナライズ,1.1,80.0,False,False
122,バリヤード,mr-mime,122,第一世代,エスパー,フェアリー,40,45,65,100,120,90,460,ぼうおん,フィルター,テクニシャン,1.3,54.5,False,False
123,ストライク,scyther,123,第一世代,むし,ひこう,70,110,80,55,80,105,500,むしのしらせ,テクニシャン,ふくつのこころ,1.5,56.0,False,False
124,ルージュラ,jynx,124,第一世代,こおり,エスパー,65,50,35,115,95,95,455,どんかん,よちむ,かんそうはだ,1.4,40.6,False,False
125,エレブー,electabuzz,125,第一世代,でんき,,65,83,57,95,85,105,490,せいでんき,,やるき,1.1,30.0,False,False
126,ブーバー,magmar,126,第一世代,ほのお,,65,95,57,100,85,93,495,ほのおのからだ,,やるき,1.3,44.5,False,False
127,カイロス,pinsir,127,第一世代,むし,,65,125,100,55,70,85,500,かいりきバサミ,かたやぶり,じしんかじょう,1.5,55.0,False,False
128,ケンタロス,tauros,128,第一世代,ノーマル,,75,100,95,40,70,110,490,いかく,いかりのつぼ,ちからずく,1.4,88.4,False,False
129,コイキング,magikarp,129,第一世代,みず,,20,10,55,15,20,80,200,すいすい,,びびり,0.9,10.0,False,False
130,ギャラドス,gyarados,130,第一世代,みず,ひこう,95,125,79,60,100,81,540,いかく,,じしんかじょう,6.5,235.0,False,False
131,ラプラス,lapras,131,第一世代,みず,こおり,130,85,80,85,95,60,535,ちょすい,シェルアーマー,うるおいボディ,2.5,220.0,False,False
132,メタモン,ditto,132,第一世代,ノーマル,,48,48,48,48,48,48,288,じゅうなん,,かわりもの,0.3,4.0,False,False
133,イーブイ,eevee,133,第一世代,ノーマル,,55,55,50,45,65,55,325,にげあし,てきおうりょく,きけんよち,0.3,6.5,False,False
134,シャワーズ,vaporeon,134,第一世代,みず,,130,65,60,110,95,65,525,ちょすい,,うるおいボディ,1.0,29.0,False,False
135,サンダース,jolteon,135,第一世代,でんき,,65,65,60,110,95,130,525,ちくでん,,はやあし,0.8,24.5,False,False
136,ブースター,flareon,136,第一世代,ほのお,,65,130,60,95,110,65,525,もらいび,,こんじょう,0.9,25.0,False,False
137,ポリゴン,porygon,137,第一世代,ノーマル,,65,60,70,85,75,40,395,トレース,ダウンロード,アナライズ,0.8,36.5,False,False
138,オムナイト,omanyte,138,第一世代,いわ,みず,35,40,100,90,55,35,355,すいすい,シェルアーマー,くだけるよろい,0.4,7.5,False,False
139,オムスター,omastar,139,第一世代,いわ,みず,70,60,125,115,70,55,495,すいすい,シェルアーマー,くだけるよろい,1.0,35.0,False,False
140,カブト,kabuto,140,第一世代,いわ,みず,30,80,90,55,45,55,355,すいすい,カブトアーマー,くだけるよろい,0.5,11.5,False,False
141,カブトプス,kabutops,141,第一世代,いわ,みず,60,115,105,65,70,80,495,すいすい,カブトアーマー,くだけるよろい,1.3,40.5,False,False
142,プテラ,aerodactyl,142,第一世代,いわ,ひこう,80,105,65,60,75,130,515,いしあたま,プレッシャー,きんちょうかん,1.8,59.0,False,False
143,カビゴン,snorlax,143,第一世代,ノーマル,,160,110,65,65,110,30,540,めんえき,あついしぼう,くいしんぼう,2.1,460.0,False,False
144,フリーザー,articuno,144,第一世代,こおり,ひこう,90,85,100,95,125,85,580,プレッシャー,,ゆきがくれ,1.7,55.4,True,False
145,サンダー,zapdos,145,第一世代,でんき,ひこう,90,90,85,125,90,100,580,プレッシャー,,せいでんき,1.6,52.6,True,False
146,ファイヤー,moltres,146,第一世代,ほのお,ひこう,90,100,90,125,85,90,580,プレッシャー,,ほのおのからだ,2.0,60.0,True,False
147,ミニリュウ,dratini,147,第一世代,ドラゴン,,41,64,45,50,50,50,300,だっぴ,,ふしぎなうろこ,1.8,3.3,False,False
148,ハクリュー,dragonair,148,第一世代,ドラゴン,,61,84,65,70,70,70,420,だっぴ,,ふしぎなうろこ,4.0,16.5,False,False
149,カイリュー,dragonite,149,第一世代,ドラゴン,ひこう,91,134,95,100,100,80,600,せいしんりょく,,マルチスケイル,2.2,210.0,False,False
150,ミュウツー,mewtwo,150,第一世代,エスパー,,106,110,90,154,90,130,680,プレッシャー,,きんちょうかん,2.0,122.0,True,False
151,ミュウ,mew,151,第一世代,エスパー,,100,100,100,100,100,100,600,シンクロ,,,0.4,4.0,False,True
152,チコリータ,chikorita,152,第二世代,くさ,,45,49,65,49,65,45,318,しんりょく,,リーフガード,0.9,6.4,False,False
153,ベイリーフ,bayleef,153,第二世代,くさ,,60,62,80,63,80,60,405,しんりょく,,リーフガード,1.2,15.8,False,False
154,メガニウム,meganium,154,第二世代,くさ,,80,82,100,83,100,80,525,しんりょく,,リーフガード,1.8,100.5,False,False
155,ヒノアラシ,cyndaquil,155,第二世代,ほのお,,39,52,43,60,50,65,309,もうか,,もらいび,0.5,7.9,False,False
156,マグマラシ,quilava,156,第二世代,ほのお,,58,64,58,80,65,80,405,もうか,,もらいび,0.9,19.0,False,False
157,バクフーン,typhlosion,157,第二世代,ほのお,,78,84,78,109,85,100,534,もうか,,もらいび,1.7,79.5,False,False
158,ワニノコ,totodile,158,第二世代,みず,,50,65,64,44,48,43,314,げきりゅう,,ちからずく,0.6,9.5,False,False
159,アリゲイツ,croconaw,159,第二世代,みず,,65,80,80,59,63,58,405,げきりゅう,,ちからずく,1.1,25.0,False,False
160,オーダイル,feraligatr,160,第二世代,みず,,85,105,100,79,83,78,530,げきりゅう,,ちからずく,2.3,88.8,False,False
161,オタチ,sentret,161,第二世代,ノーマル,,35,46,34,35,45,20,215,にげあし,するどいめ,おみとおし,0.8,6.0,False,False
162,オオタチ,furret,162,第二世代,ノーマル,,85,76,64,45,55,90,415,にげあし,するどいめ,おみとおし,1.8,32.5,False,False
163,ホーホー,hoothoot,163,第二世代,ノーマル,ひこう,60,30,30,36,56,50,262,ふみん,するどいめ,いろめがね,0.7,21.2,False,False
164,ヨルノズク,noctowl,164,第二世代,ノーマル,ひこう,100,50,50,86,96,70,452,ふみん,するどいめ,いろめがね,1.6,40.8,False,False
165,レディバ,ledyba,165,第二世代,むし,ひこう,40,20,30,40,80,55,265,むしのしらせ,はやおき,びびり,1.0,10.8,False,False
166,レディアン,ledian,166,第二世代,むし,ひこう,55,35,50,55,110,85,390,むしのしらせ,はやおき,てつのこぶし,1.4,35.6,False,False
167,イトマル,spinarak,167,第二世代,むし,どく,40,60,40,40,40,30,250,むしのしらせ,ふみん,スナイパー,0.5,8.5,False,False
168,アリアドス,ariados,168,第二世代,むし,どく,70,90,70,60,70,40,400,むしのしらせ,ふみん,スナイパー,1.1,33.5,False,False
169,クロバット,crobat,169,第二世代,どく,ひこう,85,90,80,70,80,130,535,せいしんりょく,,すりぬけ,1.8,75.0,False,False
170,チョンチー,chinchou,170,第二世代,みず,でんき,75,38,38,56,56,67,330,ちくでん,はっこう,ちょすい,0.5,12.0,False,False
171,ランターン,lanturn,171,第二世代,みず,でんき,125,58,58,76,76,67,460,ちくでん,はっこう,ちょすい,1.2,22.5,False,False
172,ピチュー,pichu,172,第二世代,でんき,,20,40,15,35,35,60,205,せいでんき,,ひらいしん,0.3,2.0,False,False
173,ピィ,cleffa,173,第二世代,フェアリー,,50,25,28,45,55,15,218,メロメロボディ,マジックガード,フレンドガード,0.3,3.0,False,False
174,ププリン,igglybuff,174,第二世代,ノーマル,フェアリー,90,30,15,40,20,15,210,メロメロボディ,かちき,フレンドガード,0.3,1.0,False,False
175,トゲピー,togepi,175,第二世代,フェアリー,,35,20,65,40,65,20,245,はりきり,てんのめぐみ,きょううん,0.3,1.5,False,False
176,トゲチック,togetic,176,第二世代,フェアリー,ひこう,55,40,85,80,105,40,405,はりきり,てんのめぐみ,きょううん,0.6,3.2,False,False
177,ネイティ,natu,177,第二世代,エスパー,ひこう,40,50,45,70,45,70,320,シンクロ,はやおき,マジックミラー,0.2,2.0,False,False
178,ネイティオ,xatu,178,第二世代,エスパー,ひこう,65,75,70,95,70,95,470,シンクロ,はやおき,マジックミラー,1.5,15.0,False,False
179,メリープ,mareep,179,第二世代,でんき,,55,40,40,65,45,35,280,せいでんき,,プラス,0.6,7.8,False,False
180,モココ,flaaffy,180,第二世代,でんき,,70,55,55,80,60,45,365,せいでんき,,プラス,0.8,13.3,False,False
181,デンリュウ,ampharos,181,第二世代,でんき,,90,75,85,115,90,55,510,せいでんき,,プラス,1.4,61.5,False,False
182,キレイハナ,bellossom,182,第二世代,くさ,,75,80,95,90,100,50,490,ようりょくそ,,いやしのこころ,0.4,5.8,False,False
183,マリル,marill,183,第二世代,みず,フェアリー,70,20,50,20,50,40,250,あついしぼう,ちからもち,そうしょく,0.4,8.5,False,False
184,マリルリ,azumarill,184,第二世代,みず,フェアリー,100,50,80,60,80,50,420,あついしぼう,ちからもち,そうしょく,0.8,28.5,False,False
185,ウソッキー,sudowoodo,185,第二世代,いわ,,70,100,115,30,65,30,410,がんじょう,いしあたま,びびり,1.2,38.0,False,False
186,ニョロトノ,politoed,186,第二世代,みず,,90,75,75,90,100,70,500,ちょすい,しめりけ,あめふらし,1.1,33.9,False,False
187,ハネッコ,hoppip,187,第二世代,くさ,ひこう,35,35,40,35,55,50,250,ようりょくそ,リーフガード,すりぬけ,0.4,0.5,False,False
188,ポポッコ,skiploom,188,第二世代,くさ,ひこう,55,45,50,45,65,80,340,ようりょくそ,リーフガード,すりぬけ,0.6,1.0,False,False
189,ワタッコ,jumpluff,189,第二世代,くさ,ひこう,75,55,70,55,95,110,460,ようりょくそ,リーフガード,すりぬけ,0.8,3.0,False,False
190,エイパム,aipom,190,第二世代,ノーマル,,55,70,55,40,55,85,360,にげあし,ものひろい,スキルリンク,0.8,11.5,False,False
191,ヒマナッツ,sunkern,191,第二世代,くさ,,30,30,30,30,30,30,180,ようりょくそ,サンパワー,はやおき,0.3,1.8,False,False
192,キマワリ,sunflora,192,第二世代,くさ,,75,75,55,105,85,30,425,ようりょくそ,サンパワー,はやおき,0.8,8.5,False,False
193,ヤンヤンマ,yanma,193,第二世代,むし,ひこう,65,65,45,75,45,95,390,かそく,ふくがん,おみとおし,1.2,38.0,False,False
194,ウパー,wooper,194,第二世代,みず,じめん,55,45,45,25,25,15,210,しめりけ,ちょすい,てんねん,0.4,8.5,False,False
195,ヌオー,quagsire,195,第二世代,みず,じめん,95,85,85,65,65,35,430,しめりけ,ちょすい,てんねん,1.4,75.0,False,False
196,エーフィ,espeon,196,第二世代,エスパー,,65,65,60,130,95,110,525,シンクロ,,マジックミラー,0.9,26.5,False,False
197,ブラッキー,umbreon,197,第二世代,あく,,95,65,110,60,130,65,525,シンクロ,,せいしんりょく,1.0,27.0,False,False
